"order_id","pelanggan_id","tanggal","total","status"
108,3,"2024-12-08",119000.00,dibayar
109,4,"2024-12-11",59000.00,selesai
110,5,"2024-12-14",74000.00,dibatalkan
111,6,"2024-12-17",107000.00,dikirim
112,7,"2024-12-20",89000.00,selesai
113,8,"2024-12-23",76000.00,dibayar
114,9,"2024-12-26",110000.00,selesai
115,10,"2024-12-29",37000.00,dibatalkan
116,11,"2025-01-02",95000.00,dikirim
117,12,"2025-01-05",82000.00,selesai
118,13,"2025-01-08",128000.00,dibayar
119,14,"2025-01-11",63000.00,selesai
120,15,"2025-01-14",78000.00,dibatalkan
121,16,"2025-01-17",111000.00,dikirim
122,17,"2025-01-20",94000.00,selesai
123,18,"2025-01-23",81000.00,dibayar
124,19,"2025-01-26",105000.00,selesai
125,20,"2025-01-29",44000.00,dibatalkan
126,21,"2025-02-01",97000.00,dikirim
127,22,"2025-02-04",85000.00,selesai
128,23,"2025-02-07",118000.00,dibayar
129,24,"2025-02-10",68000.00,selesai
130,25,"2025-02-13",73000.00,dibatalkan
131,26,"2025-02-16",102000.00,dikirim
132,27,"2025-02-19",87000.00,selesai
133,28,"2025-02-22",94000.00,dibayar
134,29,"2025-02-25",58000.00,selesai
135,30,"2025-02-28",72000.00,dibatalkan
136,31,"2025-03-03",116000.00,dikirim
137,32,"2025-03-06",83000.00,selesai
138,33,"2025-03-09",96000.00,dibayar
139,34,"2025-03-12",69000.00,selesai
140,35,"2025-03-15",45000.00,dibatalkan
141,36,"2025-03-18",108000.00,dikirim
142,37,"2025-03-21",89000.00,selesai
143,38,"2025-03-24",77000.00,dibayar
144,39,"2025-03-27",111000.00,selesai
145,40,"2025-03-30",38000.00,dibatalkan
146,41,"2025-04-02",94000.00,dikirim
147,42,"2025-04-05",86000.00,selesai
148,43,"2025-04-08",119000.00,dibayar
149,44,"2025-04-11",64000.00,selesai
150,45,"2025-04-14",69000.00,dibatalkan
151,46,"2025-04-17",103000.00,dikirim
152,47,"2025-04-20",91000.00,selesai
153,48,"2025-04-23",78000.00,dibayar
154,49,"2025-04-26",95000.00,selesai
155,50,"2025-04-29",46000.00,dibatalkan
156,51,"2025-05-02",107000.00,dikirim
157,52,"2025-05-05",84000.00,selesai
158,53,"2025-05-08",120000.00,dibayar
159,54,"2025-05-11",67000.00,selesai
160,55,"2025-05-14",71000.00,dibatalkan
161,56,"2025-05-17",98000.00,dikirim
162,57,"2025-05-20",85000.00,selesai
163,58,"2025-05-23",113000.00,dibayar
164,59,"2025-05-26",59000.00,selesai
165,60,"2025-05-29",74000.00,dibatalkan
166,61,"2025-06-01",105000.00,dikirim
167,62,"2025-06-04",82000.00,selesai
168,63,"2025-06-07",95000.00,dibayar
169,64,"2025-06-10",66000.00,selesai
170,65,"2025-06-13",43000.00,dibatalkan
171,66,"2025-06-16",117000.00,dikirim
172,67,"2025-06-19",88000.00,selesai
173,68,"2025-06-22",74000.00,dibayar
174,69,"2025-06-25",106000.00,selesai
175,70,"2025-06-28",57000.00,dibatalkan
176,71,"2025-07-01",92000.00,dikirim
177,72,"2025-07-04",83000.00,selesai
178,73,"2025-07-07",115000.00,dibayar
179,74,"2025-07-10",61000.00,selesai
180,75,"2025-07-13",76000.00,dibatalkan
181,76,"2025-07-16",108000.00,dikirim
182,77,"2025-07-19",89000.00,selesai
183,78,"2025-07-22",95000.00,dibayar
184,79,"2025-07-25",53000.00,selesai
185,80,"2025-07-28",68000.00,dibatalkan
186,81,"2025-08-01",120000.00,dikirim
187,82,"2025-08-04",83000.00,selesai
188,83,"2025-08-07",74000.00,dibayar
189,84,"2025-08-10",108000.00,selesai
190,85,"2025-08-13",37000.00,dibatalkan
191,86,"2025-08-16",92000.00,dikirim
192,87,"2025-08-19",100000.00,selesai
193,88,"2025-08-22",65000.00,dibayar
194,89,"2025-08-25",71000.00,selesai
195,90,"2025-08-28",113000.00,dibatalkan
196,91,"2025-09-01",86000.00,dikirim
197,92,"2025-09-04",77000.00,selesai
198,93,"2025-09-07",126000.00,dibayar
199,94,"2025-09-10",53000.00,selesai
200,95,"2025-09-13",66000.00,dibatalkan
201,96,"2025-09-16",95000.00,dikirim
202,97,"2025-09-19",82000.00,selesai
203,98,"2025-09-22",110000.00,dibayar
204,99,"2025-09-25",57000.00,selesai
205,100,"2025-09-28",72000.00,dibatalkan
206,101,"2025-10-01",104000.00,dikirim
207,102,"2025-10-04",79000.00,selesai
208,103,"2025-10-07",92000.00,dibayar
209,104,"2025-10-10",64000.00,selesai
210,105,"2025-10-13",42000.00,dibatalkan
211,1,"2025-10-16",97000.00,dikirim
212,2,"2025-10-19",84000.00,selesai
213,3,"2025-10-22",117000.00,dibayar
214,4,"2025-10-25",58000.00,selesai
215,5,"2025-10-28",73000.00,dibatalkan
216,6,"2025-10-31",106000.00,dikirim
217,7,"2025-11-03",88000.00,selesai
218,8,"2025-11-06",75000.00,dibayar
219,9,"2025-11-09",109000.00,selesai
220,10,"2025-11-12",36000.00,dibatalkan
221,11,"2025-11-15",94000.00,dikirim
222,12,"2025-11-18",81000.00,selesai
223,13,"2025-11-21",125000.00,dibayar
224,14,"2025-11-24",62000.00,selesai
225,15,"2025-11-27",77000.00,dibatalkan
226,16,"2025-11-30",110000.00,dikirim
